"range","nsample","dsample","scenario","baseline_surface_inter","baseline_test_inter","baseline_random_inter","baseline_spatial_inter","baseline_AOA_inter","baseline_surface_extra","baseline_test_extra","baseline_spatial_extra","baseline_AOA_extra","baseline_impfeat","baseline_mtry","coord_surface_inter","coord_test_inter","coord_random_inter","coord_spatial_inter","coord_AOA_inter","coord_surface_extra","coord_test_extra","coord_spatial_extra","coord_AOA_extra","coord_impfeat","coord_mtry","EDF_surface_inter","EDF_test_inter","EDF_random_inter","EDF_spatial_inter","EDF_AOA_inter","EDF_surface_extra","EDF_test_extra","EDF_spatial_extra","EDF_AOA_extra","EDF_impfeat","EDF_mtry","RFsp_surface_inter","RFsp_test_inter","RFsp_random_inter","RFsp_spatial_inter","RFsp_AOA_inter","RFsp_surface_extra","RFsp_test_extra","RFsp_spatial_extra","RFsp_AOA_extra","RFsp_impfeat","RFsp_mtry","RFGLS_surface_inter","RFGLS_surface_extra"
10,200,"sregular","complete",1.69903615372947,1.50462618374233,1.69064023413342,1.662908502082,97.58,1.76045390554982,1.74664547983763,1.61274984654609,96.17,100,4,1.69828621204823,1.51949293639992,1.70908759751237,1.71504510434401,98.2,1.80680883437819,1.85370268108818,1.62207335103191,10.79,90.581581938709,4,1.72877265565026,1.51638128214231,1.71784035171208,1.74566901564221,97.67,1.86218668922892,1.91548691552312,1.63916474979461,6.07,83.9546814672458,8,1.78914768538613,1.59131518752123,1.79310139427918,1.8117221864221,96.4,1.86311499975854,1.91947132618758,1.71227190274438,0.14,68.2967929951399,202,1.70694344095873,1.78697960569711
10,200,"random","complete",1.72231545487928,1.49050162822131,1.78976834708869,1.80654354382472,96.49,1.76550119745429,1.92330935515726,1.77962168207614,95.07,100,6,1.72598421798523,1.52645030988341,1.79715619817055,1.82109929484041,96.2,1.77985049914062,1.92536675362809,1.88677156195265,3.23,89.7926890903314,8,1.74577509104577,1.53894339822965,1.80269317323351,1.82552260749596,94.89,1.83824504338438,1.98346001459256,1.89851599735176,0.59,82.5628179160835,10,1.75866550704137,1.5873011544385,1.85785058542817,1.83607609223231,95.16,1.81060040282085,1.88221585096963,1.9058228246704,0,61.406921434297,204,1.73919055497977,1.79190757913579
10,200,"wclust","complete",1.74608518573173,1.66447123382386,1.65298015640045,1.69045700609481,92.61,1.85296339047994,2.10539754413739,1.66787375712726,90.27,100,3,1.80560443006163,1.70672545004844,1.61970291800725,1.71134944077809,95.88,1.89339871209637,2.17225972800186,1.67584259792097,17.08,91.0925864560189,8,1.7923603677039,1.68163093771302,1.6402419641498,1.72299809245604,95.59,1.90763496035566,2.13032398728576,1.7374399206437,3.36,81.4471712778507,8,1.81328963240471,1.78223724724571,1.67693742385356,1.76977747800782,94.48,1.86527935803258,2.04344725581256,1.80801939544861,0,61.772643348436,146,1.75914446093122,1.85624409368402
10,200,"sclust","complete",1.74112821914253,1.56758086780453,1.53285228608783,1.63694271126211,91.68,1.80109798532085,1.75890150522843,1.75401405787554,88.96,100,5,1.74419954797798,1.58051003710454,1.52903020630196,1.85601798995785,84.21,1.82702704743488,1.81277028434023,1.73791217322805,0,88.9758768970196,5,1.77750384464779,1.67404664559225,1.55989894802806,2.13394977121429,71,1.90681372222447,1.91070857783377,1.87713000269355,0,72.3156572740334,5,1.77298242771846,1.68766223632147,1.62186753035305,2.10003077407839,89.55,1.87513886758819,1.93659660321543,1.85026807221378,0,58.8949132631313,141,1.72884731914189,1.81372796010097
10,200,"sregular","complete",1.66200500754208,1.65981929233555,1.75151956924831,1.7011505360725,99.03,1.76226295372275,1.63406027379349,1.78216136132803,98.57,100,2,1.70791884186201,1.73380063925426,1.80038719308185,1.71824184825386,98.87,1.82889749491767,1.65562840858971,1.76972346556569,15.87,90.6429695742191,5,1.7491589504386,1.76150194610121,1.82303810279142,1.72657395722373,98.88,1.84416284939678,1.67152939453675,1.81885397289025,4.4,82.8601456465668,13,1.80009101215201,1.79029077434089,1.87280935954513,1.77900766831935,97.53,2.47026713553179,2.26531932384292,1.84389170468239,0.19,63.8677675576125,202,1.70313856251848,1.82404233541726
10,200,"random","complete",1.68563214895135,1.65376864485184,1.7544088143431,1.72559004850007,95.53,1.79921322635895,1.78219276714168,1.8183943214171,94.94,100,2,1.73346142718053,1.63789414954768,1.79096026816825,1.76801766158745,96.95,1.85654581447343,1.87102087883286,1.93803929815221,4.08,85.9943265298227,4,1.75998147057818,1.70649639196639,1.80770716206468,1.80436581692993,96.16,1.87589812141958,1.82553465842836,1.97610572758742,0.18,79.0209334494663,10,1.78870812768123,1.68923602464261,1.85085637522618,1.8272872502487,94.9,1.89101380485092,1.73406054006747,2.13060093531698,0.25,59.9666221198291,205,1.71860317737985,1.84100164299265
10,200,"wclust","complete",1.70672359819137,1.70345568310641,1.69801380714074,1.78581313131478,97.17,1.79631087323542,1.68955090966153,1.79403425700447,96.35,100,2,1.78266757813316,1.73055519754954,1.73195020259577,1.8638838339237,98.09,1.90892872249198,1.75307412852092,1.8324962802932,23.41,91.2645159619422,8,1.76268390853162,1.74015676980629,1.74732447762704,1.87773492236881,98.17,1.90926592045054,1.7246175206394,1.87055537315989,13.54,84.7025553162702,13,1.78821852751139,1.74006754570468,1.80656153088033,1.95188765377627,97.04,2.12444211282365,2.0637111177724,1.95654623187558,0,58.8706049648232,149,1.72945232560093,1.83905019742364
10,200,"sclust","complete",1.69623571904877,1.58649366243533,1.64252982160446,1.87535427949508,91.86,1.80673764534518,1.769892710111,1.83548529303909,89.32,100,3,1.73449663304764,1.60539569297264,1.65394341907343,1.90262253140338,90.56,1.87747979708362,1.86861712918727,1.92296143815484,0,86.6850316334792,4,1.84602362260048,1.70633359943276,1.59302871684095,2.029768245533,86.66,2.26300417679524,2.37917068263262,1.88464553525447,0,68.2462291366535,5,1.82584348498522,1.67280721758512,1.59994996326527,2.18413425139858,94.7,2.08838167269822,2.1903205031337,2.16045882404938,0,53.0811737959782,145,1.74846004618656,1.86134939080565
10,200,"sregular","complete",1.69829126412406,1.57833891755086,1.79876892033007,1.77630441429763,99.34,1.80260179191326,1.80818879963076,1.79341395435004,99.04,100,2,1.73784510668185,1.59458780472229,1.84446674697938,1.86032861605719,98.95,1.82480609091332,1.79432700950993,1.850971857739,2.33,88.5608228266098,4,1.75584901020653,1.60581152761518,1.89800176227232,1.94925408774435,98.69,1.87986010539213,1.87994992610444,1.85911342467062,0,77.5675599854947,8,1.81446834241814,1.70964649973502,1.91038782385915,1.98681190854862,96.86,1.99137516874014,1.98223370163769,2.00482607288147,0,57.0627264841551,152,1.72706459476799,1.84672968706761
10,200,"random","complete",1.69123129180299,1.59540188261219,1.70713707774484,1.73852059410582,96.16,1.79171308839543,1.76962109553987,1.95863556096485,94.63,100,6,1.7268150744873,1.61128017121672,1.70902802583296,1.7212533858891,96.59,1.84806002578631,1.78997698915719,1.96501482724627,0.91,88.0359045228018,6,1.75623938812953,1.6266550266187,1.72854776461963,1.73877916439489,97.27,1.89587199483423,1.80352397994746,2.00422871007949,0.06,77.2542531975961,8,1.77260374417183,1.67767141942096,1.80738542908953,1.76413054882552,96.51,1.87313230010682,1.82896105203659,2.13064292316948,0,55.0263321342104,206,1.72166534147828,1.85606881257236
