"range","nsample","dsample","scenario","baseline_surface_inter","baseline_test_inter","baseline_random_inter","baseline_spatial_inter","baseline_AOA_inter","baseline_surface_extra","baseline_test_extra","baseline_spatial_extra","baseline_AOA_extra","baseline_impfeat","baseline_mtry","coord_surface_inter","coord_test_inter","coord_random_inter","coord_spatial_inter","coord_AOA_inter","coord_surface_extra","coord_test_extra","coord_spatial_extra","coord_AOA_extra","coord_impfeat","coord_mtry","EDF_surface_inter","EDF_test_inter","EDF_random_inter","EDF_spatial_inter","EDF_AOA_inter","EDF_surface_extra","EDF_test_extra","EDF_spatial_extra","EDF_AOA_extra","EDF_impfeat","EDF_mtry","RFsp_surface_inter","RFsp_test_inter","RFsp_random_inter","RFsp_spatial_inter","RFsp_AOA_inter","RFsp_surface_extra","RFsp_test_extra","RFsp_spatial_extra","RFsp_AOA_extra","RFsp_impfeat","RFsp_mtry","RFGLS_surface_inter","RFGLS_surface_extra"
40,200,"sregular","autocor",1.1562871438202,1.0370046024305,1.21974021804769,1.17403239279943,99.72,1.63238134412117,1.51341167097705,1.44855054814289,88.41,100,6,1.11262002870507,1.013603380356,1.19680147882596,1.16492766012645,99.62,1.67337508350617,1.50468411259856,1.41530389794949,0,84.6967988867188,6,1.07307724685669,0.979562930085737,1.19810504002916,1.20091901653475,99.86,1.73126235643633,1.5733720138089,1.51016881399927,0,68.2649839278636,8,1.07536622943189,1.03980683770701,1.21486738636801,1.23013919041305,99.32,1.88267765840346,1.76790106718456,1.72122732321289,0,51.9212767625746,216,0.902694879977087,1.70323104932147
40,200,"random","autocor",1.21653197777572,1.06868871597262,1.39827153116389,1.31761483020874,95.87,1.67198987227612,1.58195320931325,1.61009500035203,73.88,100,3,1.15680660468434,1.01092007142096,1.23502896382503,1.23610956104931,94.61,1.73184818669254,1.57294290956188,1.63898279937233,0,76.6001711821918,6,1.14483926310145,0.984304649350096,1.22771683340127,1.18881370927315,95.2,1.73384222512478,1.59048323546737,1.62929447650488,0,57.0089078650456,10,1.14344287050965,1.01041133691414,1.13507351139108,1.11214465758406,98.04,1.88051319423571,1.76815514728886,1.57287182662191,0,28.6275279543384,206,1.00860916087686,1.76686562026798
40,200,"wclust","autocor",1.34627982432225,1.24348981518274,1.10942090581444,1.43071968050127,94.35,1.69057528892138,1.61803550893671,1.7887955274729,78.27,100,4,1.49567350502886,1.37968116641513,0.980852009724342,1.42694810418242,74.27,2.29729198844024,2.21502914942503,1.68999149914376,0,48.8096457976864,6,1.53082237844767,1.3667660373911,1.02967940655676,1.61480798842071,69.95,2.27207161747873,2.25555616741524,1.7610220981341,0,34.5834408442033,2,1.73576970858794,1.72495419594609,1.03037366894993,1.7527974871138,62.5,2.02010218954145,1.92602988825283,2.4474302991984,0,12.1668248648458,102,1.27938366158216,1.77318375328361
40,200,"sclust","autocor",1.47714995726213,1.38087286904265,0.850003020104354,1.28325243751071,69.42,1.7459142392767,1.59352771632322,1.6852350702247,51.27,100,6,1.52474471775954,1.41144988591903,0.821568180970557,1.16651552758719,42.85,1.87083696037199,1.69541453432037,1.74149147990336,0,73.580616152087,6,1.70557300486927,1.58725774099267,0.783182325691893,1.11936211684411,28.15,1.87593496413292,1.76781217712756,1.66262786015771,0,41.0192383870911,5,1.75440020656294,1.62395848967125,0.799073769999284,1.20897576341057,25.87,2.12751504319744,2.04056633896546,1.75615161552135,0,19.3209325201891,189,1.47444631560797,1.83354846416367
40,200,"sregular","autocor",1.24046683866463,1.31304729779789,1.49451409206925,1.4942186053875,99.29,2.22612365169302,2.12824780448741,1.72994087197512,82.59,100,4,1.16486549181292,1.19728799324718,1.42810281973029,1.42138454932554,99.39,2.22618785701128,2.16207472078376,1.76517695906718,0,87.5476484459143,4,1.11091579386474,1.15005046472554,1.44618981812274,1.37811699176253,99.06,2.35372913722863,2.35577759950436,1.79667292245222,0,71.5358528578847,5,0.996582573641701,0.924764806472132,1.34908415805127,1.28692064523182,98.59,2.25843915148675,2.21386215962431,1.89956011064661,0,21.8854603797452,52,0.801892240735993,1.99380336115451
40,200,"random","autocor",1.25407481748803,1.25459793741481,1.42537931882994,1.39924437053624,96.89,2.12062229135872,2.04011878700898,1.80210858513076,73.6,100,3,1.19557090878143,1.15389655663368,1.40497324298834,1.34561106165424,97.14,2.20047295220457,2.1527290619331,1.94606614028651,0,84.5977150772814,4,1.14170358376647,1.11437543684092,1.327148490578,1.30162005716783,98.3,2.22237814397621,2.17747572285514,2.02858844448603,0,66.6030272241506,5,1.07438982591789,0.998157014073345,1.3330393511644,1.24925346816169,98.56,2.32015268303353,2.28999126486491,2.33048326239168,0,20.1230844150537,52,0.838081317190773,2.10274897937316
40,200,"wclust","autocor",1.55344205055492,1.57371510761449,1.18582030127783,1.39535137971548,95.08,2.35686276385767,2.31210199153842,1.61780853638021,78.37,100,6,1.49330065747616,1.51111511652865,1.1549347699749,1.4035250402225,89.57,2.34478461381768,2.29373220874087,1.65958508117207,0,84.2987247740816,4,1.46817755690302,1.41301595950972,1.11641894571706,1.36352459026372,92.57,2.27610225165764,2.25498594433217,1.74310215369064,0,75.3443455647139,8,1.42334450659395,1.33360240661689,1.04689352341034,1.54164540648352,85.37,2.14279977562862,2.14412567360326,1.80998365945643,0,25.1487349910564,51,1.3520498746844,2.27906557389849
40,200,"sclust","autocor",1.63647064755001,1.82327845464368,0.860106574952429,1.6091255096664,84.85,2.18341327603916,2.17002876870474,2.13434321389751,55.18,100,6,1.62264394924482,1.7016269232766,0.731714171218116,1.45951023920245,76.33,2.3904338107645,2.42212159652086,1.96712197265674,0,85.3807324385368,5,1.70585306331431,1.82106643372145,0.694073137844644,1.65406042008308,72.46,2.56295761180495,2.58733344621213,2.03618104635685,0,67.5040392350899,5,1.93694310446695,1.93405445378698,0.712698484958582,2.05000283127872,74.54,2.40433208794655,2.34665061309538,2.62489932612526,0,37.4163748978651,49,1.85173796927183,2.27065323896371
40,200,"sregular","autocor",1.22427999093801,1.10043891971145,1.30048187943116,1.28687127488351,98.82,1.91225577993261,1.71701239217654,1.46313946266282,78.14,100,2,1.19857617267858,1.06594161808682,1.28209968554731,1.25656442838796,99.09,2.00673598596123,1.85742353718746,1.57310766196558,0,79.3475693492516,2,1.22888828969712,1.03096314428174,1.32772196770093,1.26241783268028,98.3,2.01845496347874,1.81691589425733,1.56892262798166,0,81.391746641311,10,1.14846660139012,1.00512445038712,1.30697296308226,1.2406447584791,97.81,2.1108382858548,2.02917794207753,1.68927295662876,0,36.0695400321653,102,0.912379482424326,1.92787031564837
40,200,"random","autocor",1.27725132944727,1.25544997786959,1.26575526752571,1.27340539422503,98.21,1.98469351130748,1.92995313685146,1.67812866073937,77.94,100,3,1.26960920832226,1.17198802060378,1.27059126963788,1.29313679930753,97.83,2.03029289586501,1.98836646041243,1.78472929348938,0,80.8991460851419,5,1.29183062301385,1.20030289992911,1.27938562909833,1.30211537724938,97.15,2.10409362602544,2.05103890134011,1.92258603244024,0,75.780817545954,10,1.22596273564678,1.09712462901523,1.23237832177938,1.23622763993418,97.71,2.05868023285735,2.03614568916625,1.8842822164487,0,35.6807657767359,154,1.04554372247988,1.97480499033026
40,200,"wclust","autocor",1.38140570945721,1.33449701588167,1.22487636346544,1.54918293351348,93.54,2.05004467750842,1.91350457057538,1.97928011273608,62.97,100,3,1.39370392303256,1.25797174708484,1.14401829863704,1.52675875092277,84.72,2.50092116071853,2.37863359376082,2.01799342610619,0,74.3607029161221,5,1.47378015791079,1.3568493326248,1.14239443129317,1.53276181477223,71.01,2.6067174752756,2.49961472480782,2.36172522390896,0,49.4453382641702,5,1.43305534839941,1.35075280046009,1.14412086132899,1.66727119714996,81.76,2.18765927365561,2.06454053777781,2.40600173557718,0,33.8537449190594,203,1.29956310642724,2.09617366392897
40,200,"sclust","autocor",1.68591651404445,1.56628909960168,0.955013203813414,1.73689110681866,50.7,1.94398544677978,1.80485392410705,1.80580240592536,24.86,100,2,1.6661274366643,1.55602588910785,0.882583629686945,1.94203084740486,29.68,2.01001914099422,1.89963878230254,2.07441457231958,0,80.7605626673004,2,1.75981355253393,1.64000889211013,0.815259005592279,2.53866798894436,34.43,2.03759157888278,1.96865232792876,2.60179999597888,0,63.9542216034005,5,1.83634481872358,1.77650658079761,0.807195164251094,1.92103308164679,26.33,2.24115403694312,2.16046997262985,2.22154508410615,0,23.0951583560286,95,1.65283066342749,1.9821622809206
40,200,"sregular","autocor",1.19178911547187,1.13999072192605,1.45472840966228,1.46559237905636,99.8,1.88850006900512,1.83792490155392,1.71017990720348,73.5,100,2,1.0963639431585,1.05704306085245,1.44137209680602,1.42444695422167,99.81,1.80815820077915,1.80816906295633,1.77923502934752,0,86.4976173874262,8,1.06453366216763,0.996984403381015,1.43118456333941,1.41815244060193,99.77,1.79189127952562,1.81538232902856,1.71832009993283,0,70.133975456331,10,0.991992715958536,1.00162753184816,1.37669344450581,1.35862267807638,99.83,2.02312707686767,2.13735476798336,1.86800215523346,0,30.2194142521753,109,0.833579141665319,1.98187024974862
40,200,"random","autocor",1.30349337124055,1.24352900719483,1.35497353552491,1.37977117671849,98.66,1.93528242215676,1.85219318233061,1.6673364716383,72.52,100,3,1.26965060552139,1.21867147729344,1.31353100800084,1.31781117178234,98.78,2.09442873512785,1.99640953616451,1.62778066401351,0,85.3182996432334,4,1.22979657112082,1.24077734540607,1.29054419574995,1.27362157382755,98.99,2.13991606961447,1.96751085559549,1.64735983567769,0,62.676318882738,5,1.20866707563453,1.29755629195451,1.25077399285417,1.24763096094511,98.3,2.03866364748084,1.9446412849519,1.90367754973586,0,31.3197347394506,103,0.99491703383646,2.00798778430336
40,200,"wclust","autocor",1.35555396296146,1.28143196188957,1.05519535367233,1.40235677819748,84.94,1.94997523406959,1.943492181228,1.59575561727404,64.06,100,4,1.39264800737078,1.35657037502854,1.00240299947276,1.37326847280767,78.81,2.21055971974395,2.07713202146972,1.66063349516032,0,84.6371315233314,4,1.46741096130141,1.41741607548178,0.951170702273089,1.37634342105689,58.76,2.46451635936692,2.20365658179101,1.75627002865374,0,50.8883891188469,2,1.55928503789133,1.60976197902501,0.980549304441114,1.53903675567056,57.35,2.37282525708235,2.08326218467223,2.0045418551701,0,19.644594726125,50,1.30242444837097,2.06858848679639
40,200,"sclust","autocor",1.53139461019178,1.55196921514847,0.790600270378195,1.10109303761428,61.39,1.9645725351626,1.85594959059635,1.19995125965293,38.31,100,4,1.56759198204228,1.57581031298831,0.762228105795909,1.17839013632419,45.83,2.28758185936873,2.02030678379224,1.22847211545624,0,74.8898578365528,5,1.69433838967701,1.7674139609009,0.747777202853746,1.13158704796135,27.78,2.3990043560765,2.05586816362127,1.26426884557278,0,43.8850893603214,5,1.80300849557204,1.95200876493556,0.770618885138397,1.23485985473183,29,2.40897871358691,2.07988899537256,1.3569490388386,0,22.3286819383374,48,1.4943798389031,2.06295805489221
40,200,"sregular","autocor",1.23047324788316,1.31914641087463,1.43542601732446,1.40798405493304,99.11,1.74286050551084,1.88783688972527,1.71316277276818,85.75,100,2,1.139284581972,1.24857640877041,1.37912002159512,1.3569462555713,99.03,1.9181759881679,2.03938363845088,1.66165687537725,0,81.072407183076,4,1.09424411118913,1.19051474072135,1.35125823185154,1.35464932887256,99.62,1.97720794934599,2.11062694485775,1.58487316057877,0,54.7246791361916,5,1.03606238797488,1.10129345967017,1.33519754337996,1.27887286389434,98.67,2.57836569868876,2.75690163155655,1.64141856920287,0,29.3698341136852,102,0.838965470289622,1.88603290893042
40,200,"random","autocor",1.31651908174628,1.42824255697147,1.2519303382847,1.24194422411299,97.42,1.549546974205,1.68947922905832,1.48612506649139,82.23,100,3,1.27528205721363,1.38769692136288,1.19561697282026,1.17989884310714,96.87,1.92121196620294,2.03469639493053,1.55124825656123,0,77.5115295540081,6,1.22464219863143,1.28848059783997,1.18290011983998,1.11147761049122,97.81,1.77034754213049,1.84435063139186,1.61197030082223,0,58.3201125803044,10,1.12961544074791,1.16713259223548,1.14056328353779,1.1122490706919,98.22,2.19633609471532,2.34657184938771,1.84297892463165,0,18.2925397451877,52,0.97460719051223,1.68728469821107
40,200,"wclust","autocor",1.44245687723205,1.41819980542186,1.25232854836065,1.74352488977115,85.56,1.76915803320664,1.84256022609479,2.10959862960661,71.8,100,5,1.38613846448986,1.3747965094852,1.16765857713852,1.67684997120601,75.89,1.88483558221794,1.90773436344414,2.02174800728197,0,82.4194462401724,5,1.39813307795027,1.36452509177022,1.07708708989828,1.75991967550768,66.31,2.30101793668055,2.2977076022214,2.06054512969718,0,59.1559204119408,5,1.42197056737847,1.34800420779504,1.03259799987506,1.74217575466114,85.91,2.57007776788179,2.5376123105051,2.00807186332901,0,45.0877870114281,150,1.25276665976938,1.86516730230006
40,200,"sclust","autocor",1.76460284834639,1.89996868613893,0.851407068279291,1.34429204880212,58.47,1.92712384484064,2.00621020641921,1.67537466737767,45.44,100,4,1.84173951533915,1.95357531792761,0.771163176531384,1.36389850423184,38.43,1.92102538715075,2.06021047437618,1.67810436041323,0,76.3031286988742,4,1.89211263522874,1.86451500046531,0.747576628113878,1.6421360122584,38.22,2.01892076814013,2.18514141406006,1.97864724623503,0,59.363371229914,5,1.89200875327491,1.8012410595305,0.752649075861574,1.79585867001874,45.18,1.92292442319798,2.04439982690728,2.16054048532651,0,44.7955463287548,137,1.53996002529062,1.75715563318183
40,200,"sregular","autocor",1.23540855783787,1.22878499156044,1.32703774857549,1.36808241692672,99.86,2.07384653208821,1.78031013041182,1.47397874558859,70.72,100,2,1.13402095102563,1.1086035526783,1.26116767736997,1.26110236799534,99.48,2.18684137612449,1.83549998167754,1.49223219160435,0,79.0722904942774,6,1.10619726773,1.1447107096606,1.32746191757135,1.30765726232865,99.42,2.24425338786688,1.88384437262816,1.52314909833241,0,60.9859019689646,5,1.06075512078407,1.18550523677924,1.33149542617106,1.32556322962657,98.84,2.29618388514375,1.95728125085945,1.60660249037174,0,32.5472447460004,202,0.912868101586553,2.11953333410074
40,200,"random","autocor",1.25954670461882,1.24655814148601,1.23145729537527,1.23680295189136,96.28,2.21517827882131,2.09137575724778,1.68209510535326,66.09,100,6,1.18102596950918,1.11840999136033,1.17364292207644,1.16803433415071,97.25,2.25562434754493,2.04522327177281,1.64670286486267,0,81.8317426771817,5,1.14890756684093,1.1218016122731,1.16338202328432,1.15300503664451,97.06,2.49930255680672,2.2279225394143,1.70748410024064,0,67.0864253643441,5,1.17884034908363,1.12618128415611,1.15688515027583,1.15739808100755,96.6,2.35260564340471,2.09521728545449,1.50791695368093,0,32.6139850718581,103,1.01972871022958,2.41207229327458
40,200,"wclust","autocor",1.21994182283903,1.15788216467624,1.30215657087869,1.80357810817919,85.03,2.14535853282709,2.06211251998926,1.96809815606066,45.06,100,5,1.20681793386104,1.15907664842842,1.19466925359837,1.62745073662795,87.9,2.27040841043253,2.03973158765814,1.94933496973306,0,71.479744867909,6,1.22036355536388,1.19516514409412,1.09957235047003,1.45893885700063,87.5,2.43515719518593,2.08695273539006,1.8102370471531,0,58.7644409221407,10,1.18911184086418,1.21782508552418,1.04386618147325,1.51676091458304,81.57,2.27266412835786,2.0064306698123,2.06187576596669,0,21.5712341192646,101,1.06163176079395,2.20743294416476
40,200,"sclust","autocor",1.68324080642355,1.69411533170889,0.898760301369811,1.2996943671591,62.03,2.16170164152383,1.93584034313921,1.33304798323108,26.74,100,2,1.54841138853876,1.53525858195951,0.786121033620264,1.22790418360466,36.88,2.6893627697221,2.39448715890071,1.46834660395058,0,70.0511616754404,4,1.60520799373201,1.62257208516737,0.750984664407644,1.36966892885295,36.17,2.57507765971678,2.276741227511,1.72580419028208,0,52.0074588478998,10,1.60361377761322,1.60839318649353,0.775949945937048,1.50800448303882,40.11,2.35612617924214,2.04356748850595,1.86391409024653,0,22.6192951764418,184,1.64813908241542,2.37083994158755
40,200,"sregular","autocor",1.24857644936689,1.23773636877102,1.40215767637508,1.38886886638482,99.33,1.60227445784445,1.74772004870786,1.61940029796329,87.96,100,5,1.18260902918063,1.15297333881686,1.35384774050047,1.37715880139466,99.39,1.66700791251743,1.96055180354797,1.64495383340435,0.09,85.0704270425238,8,1.14309336136622,1.12608452770962,1.39204279304335,1.37789320027228,99.58,1.89186755386481,2.15495642255941,1.75147535159433,0,64.2523282329944,5,1.07815925658202,1.00213332737262,1.41184507439736,1.35288116631719,99.47,1.86239304246408,2.07814745509763,1.81785944565744,0,30.1447461545716,152,0.916817771844769,1.64611300316063
40,200,"random","autocor",1.29653492531072,1.41249692899084,1.3108055962725,1.26296978344418,96.76,1.67378866573183,1.80415957179681,1.63371192697552,79.91,100,6,1.26524714062998,1.34825822608682,1.25278528273697,1.21929270576989,97.55,1.76777290418903,1.9617464900535,1.63678368835856,0,78.3006709560177,4,1.24224231678584,1.30205023076612,1.27910953126927,1.17686767356862,97.67,1.97599066994206,2.16747665504793,1.74782250305509,0,56.7715916122641,5,1.23225383769434,1.25035722379165,1.29541982393727,1.21666061203114,97.4,1.83188745989631,1.99696724028722,1.87948776905971,0,25.2688745066557,204,1.08215175908303,1.64621688952426
40,200,"wclust","autocor",1.43253653833553,1.42418581337951,1.14704196284597,1.40974431598369,93.76,1.66406744674441,1.72144435892081,1.48660258141328,82.17,100,5,1.43827427139363,1.45477659670964,1.09450766214597,1.40390259725259,92.05,1.86393215783998,1.96825020206901,1.53281912235263,0,78.4812344500888,4,1.47866320837625,1.44833340139892,1.05987709355538,1.40946662981447,90.61,1.96727472122763,2.08392854264026,1.59387976459216,0,62.7949582435756,8,1.54450735160519,1.53337556155512,1.03896359224484,1.35015685817504,87.98,1.94951023601693,2.08861034249815,1.77497106383665,0,26.8347125260485,150,1.31061293392171,1.71282214121656
40,200,"sclust","autocor",1.53719365366487,1.59279921723491,0.872777551519269,1.39309905320727,39.68,1.59850945377184,1.59725308320914,1.81573500786632,35.79,100,6,1.6101817944827,1.62210201242779,0.8011469691538,1.24366862716386,15.2,1.85442278718243,2.10246733355015,1.68066734020389,0,45.2470782971941,4,1.70323159735294,1.67630059870736,0.759151164620532,1.21646591414277,14.98,1.92049961987961,2.14017721000532,1.58424245443677,0,19.6217800759857,5,1.77430065999483,1.69051787353903,0.742824620506643,1.32101414695281,18.4,2.0901645492908,2.30467973186043,1.65866283620347,0,8.35190815201433,91,1.47966974080589,1.77183757164434
40,200,"sregular","autocor",1.24725548229924,1.21630521601488,1.35997936720376,1.29704295453745,98.96,1.51473365153381,1.50060277180784,1.57940986689532,84.64,100,3,1.17887472417929,1.18344495708508,1.32988577768388,1.28107053464072,99.03,1.55131367593461,1.53837057142736,1.69406484174258,0,85.4707919725572,5,1.1344467305484,1.13195168471297,1.32073981198866,1.23366622604108,98.65,1.51312871838603,1.58491002557355,1.70774826297782,0,66.6540175631838,5,1.13185960581029,1.08509868535991,1.31669573894268,1.30065769596551,97.72,1.60715867483301,1.65388798819278,1.83468847838694,0,49.2767847607913,152,0.893854015248154,1.51622317322668
40,200,"random","autocor",1.26482769141187,1.33078265020746,1.36537878896692,1.37873604520375,98.67,1.58091371357392,1.65599424118243,1.65107226106175,81.23,100,2,1.21298479088137,1.33072697566025,1.34055108089939,1.34634477663982,99.16,1.62720254565262,1.67294085431158,1.63315200243084,0,83.8371581738479,5,1.17920088313243,1.25829758042852,1.28284977970916,1.33773447690656,98.65,1.67233857192967,1.70992151261536,1.72996871169561,0,61.9104295274869,5,1.16937638706307,1.27687211325973,1.37444513846942,1.39709741199507,98.31,1.65670669737647,1.78023061125145,1.91502695242261,0,41.5598561938677,103,0.954934621603861,1.58740563499206
40,200,"wclust","autocor",1.47187222355367,1.57114555811463,1.21062325568121,1.4200671192884,90.16,1.69555630567202,1.63259831857042,1.87599640035906,76.45,100,5,1.46272733009736,1.51608086566292,1.17113607206367,1.45075258023945,72.64,1.55740951668315,1.5482156318391,1.92556781048353,0,85.5721107990818,5,1.41292019674093,1.4269263851632,1.10683953467957,1.63394711779329,64.85,1.70760063209558,1.74386951553556,2.0460824679853,0,56.5578384272907,5,1.3776813760629,1.31359537095955,1.0917369928781,1.83978225045928,71.44,1.74060036716798,1.73038351118022,2.11056575672728,0,27.396880411776,102,1.26069752897185,1.56813666290021
40,200,"sclust","autocor",1.49089140430438,1.56477886062016,0.826848358767806,1.39879706446633,67.6,1.53129109266608,1.57920013193751,1.92332350917024,33.71,100,4,1.66834581837336,1.757970812983,0.787630934131137,1.43898959283931,21.41,1.88265955968423,1.91987289811736,2.52728343452954,0,48.3398882562242,6,1.69350226544033,1.77858596391645,0.77622850376288,1.7917818173069,21.65,1.90371514115179,1.93002028441237,3.35087068498488,0,37.3015962293889,8,1.57804990992817,1.58776240310144,0.859981461175699,1.82192466034645,50.81,1.83154921972548,1.88459278161898,3.60789946270712,0,44.7048674199748,186,1.46870236703511,1.47051368728854
40,200,"sregular","autocor",1.25478577155073,1.27436984594363,1.46550411087083,1.36003077218698,99.23,1.77182008002874,1.71607623320418,1.7267592714406,86.33,100,5,1.19108274302853,1.20216037466814,1.44590285204493,1.39369207119894,99.66,1.81436365591673,1.72682375409582,1.74549493683447,0,86.9811124043829,8,1.16405918353126,1.17234816499045,1.40575354201384,1.35003107760778,99.76,1.76890391814101,1.71304606068839,1.73503323253417,0,73.5551501138485,13,1.10366871723807,1.15692309774948,1.38375614055129,1.32137240118271,99.45,1.84375917647251,1.7173120465183,1.88487838684491,0,27.5159987958472,152,0.920889734316525,1.8186626191395
40,200,"random","autocor",1.43428284343299,1.36209309278075,1.32253970582266,1.33070113983195,98.3,1.70824779959294,1.61944322801043,1.64830124962621,89.13,100,4,1.39360327863862,1.34147721908099,1.2597434518296,1.23925376286671,98.61,1.89542246711962,1.7953595675597,1.67989696877976,0,78.9526993025103,5,1.33805992028853,1.24347350317542,1.26975307854903,1.23785083898349,98.16,1.97204364394824,1.87799079555072,1.67990208838139,0,68.2249683087192,13,1.3313655023117,1.26020340087079,1.20022380051345,1.22778321874117,99.44,1.85580243033416,1.69122999663253,1.85617645566064,0,28.239003137019,204,1.1326947995,1.74862476526244
40,200,"wclust","autocor",1.75018359910086,1.88405634722102,1.01968182338837,1.26521398933037,82.96,2.08885277379353,2.0032798502081,1.4503949383412,68.14,100,4,1.72548972901569,1.83587249567716,0.998056605433037,1.38924673505542,76.76,2.1043917858952,2.03292537521636,1.50461272591423,0,86.2306888315076,8,1.75519105530517,1.8907370642061,0.977274172272308,1.44240716955921,73.02,1.99064767267733,1.89695014066155,1.51992383224731,0,68.9838357930672,10,1.75661423102484,1.76443076851738,0.987284343076054,1.42328158572759,57.85,2.08859863859141,1.99512185912109,1.76219131274237,0,22.7258267159649,200,1.50238448304938,1.93812957999911
40,200,"sclust","autocor",1.65109309171996,1.43783303048762,0.983500667505989,1.4995875804352,50.95,1.86643692124717,1.74023014713766,1.6600036993767,22.63,100,6,1.69738244731314,1.54674805539902,0.906798502437431,1.52142662087883,27.1,1.92157699770731,1.80464735775777,1.61618786711956,0,75.688252620767,2,1.62892991041803,1.45820343969437,0.941405504923917,1.52691955992425,40.88,2.00476849833571,1.86594597257143,1.90391822197634,0,74.1684721752937,10,1.79987560440178,1.64159599471649,0.923716831264345,1.67847587497,41.17,2.11642631214292,2.05731584251196,2.06213306555069,0,37.5226758014672,96,1.7163492134097,1.84672627368261
40,200,"sregular","autocor",1.19393443771055,1.36209815262753,1.44301356673962,1.45533597417693,99.75,2.19140965408715,2.01916109667097,1.68638983236624,81.33,100,5,1.1285869315619,1.28766909057274,1.37384893884985,1.43633415313378,99.64,2.4337512386448,2.27267737028859,1.72495494815536,0,83.0970240899409,8,1.10293402111208,1.26252459422021,1.34651812178728,1.38181377724509,99.6,3.13262143260027,3.03635973111342,1.74532081022707,0,60.6139577115857,5,1.02170271818921,1.10091571162264,1.30824057437981,1.37409433997844,99.21,3.50661627780051,3.44040312404526,1.80435683309412,0,24.3328877531788,152,0.799016971951533,2.51659244352985
