"range","nsample","dsample","scenario","baseline_surface_inter","baseline_test_inter","baseline_random_inter","baseline_spatial_inter","baseline_AOA_inter","baseline_surface_extra","baseline_test_extra","baseline_spatial_extra","baseline_AOA_extra","baseline_impfeat","baseline_mtry","coord_surface_inter","coord_test_inter","coord_random_inter","coord_spatial_inter","coord_AOA_inter","coord_surface_extra","coord_test_extra","coord_spatial_extra","coord_AOA_extra","coord_impfeat","coord_mtry","EDF_surface_inter","EDF_test_inter","EDF_random_inter","EDF_spatial_inter","EDF_AOA_inter","EDF_surface_extra","EDF_test_extra","EDF_spatial_extra","EDF_AOA_extra","EDF_impfeat","EDF_mtry","RFsp_surface_inter","RFsp_test_inter","RFsp_random_inter","RFsp_spatial_inter","RFsp_AOA_inter","RFsp_surface_extra","RFsp_test_extra","RFsp_spatial_extra","RFsp_AOA_extra","RFsp_impfeat","RFsp_mtry","RFGLS_surface_inter","RFGLS_surface_extra"
40,200,"sregular","partial",1.53750504832195,1.41816591049672,1.50616614978444,1.47689863596543,97.52,1.9105001472617,1.96652547679649,1.53476909099849,85.24,100,2,1.46528065172637,1.3156607234465,1.49690824878052,1.46484873351117,98.58,1.87446438362969,1.98357851529994,1.58038724246343,0,79.2427433734349,4,1.43835547961781,1.3013038366004,1.53433159822838,1.48546025217511,98.03,1.91266383339757,2.05963380700911,1.67926280116634,0,58.5589128427846,6,1.41178065119759,1.28594653362203,1.56045843837639,1.53482146457955,98.73,1.99603836617105,2.22667530371632,1.79733679160374,0,35.3672534827422,199,1.41802693406696,1.89846844183247
40,200,"random","partial",1.51656889676014,1.44091695954951,1.45468722336803,1.41993553763683,97.16,1.92360216429243,2.03012654413084,1.59730314063254,86.37,100,2,1.42709818287803,1.34557605755825,1.45534834256076,1.43428198342235,99.16,1.87239410936875,1.9702490137562,1.79532482962504,0,74.6316154745161,4,1.436660250877,1.38313043222839,1.41493363747104,1.37229297361539,98.63,1.96151281796113,2.11637879210837,1.72830396235133,0,35.6647991907488,2,1.43339828140055,1.46118013411008,1.40906932336176,1.35679751801642,98.71,1.95936608620142,2.12273752052164,1.88496147566554,0,18.7955332825053,201,1.40426748030291,1.89972223520952
40,200,"wclust","partial",1.53076446610638,1.5304402340229,1.53754110311949,1.61893950891232,93.1,1.86803950885623,1.83671217368028,1.74465003269572,85.15,100,3,1.47445225899272,1.4942858487809,1.56577157455495,1.70299301197643,80.24,1.82587613754098,1.87283654671259,1.75514125242839,0,66.9962386397427,3,1.47178581164256,1.49531302662953,1.60477599312014,1.68364116912751,79.88,1.96365680927857,2.0762918664291,1.83602264008977,0,52.4079943610256,8,1.59875913199566,1.50599244792212,1.58933947082189,1.72442445508858,74.46,2.06278433572241,2.16268324027091,1.91422930832873,0,22.2136720386338,196,1.49017035547782,1.84603798158998
40,200,"sclust","partial",1.65392526261214,1.62293866939778,1.29508303325383,1.50822596603243,72.53,1.96136230853511,2.10132735155286,1.60692201903629,68.45,100,2,1.62934082900853,1.72680081119244,1.17962364526985,1.52951867724842,39.04,1.92893222974709,2.07462438957555,1.50255527825751,0,66.1438949346386,3,1.61902734472762,1.724759463746,1.21194640109697,1.55854922382127,36.52,2.05233286683313,2.19982311029016,1.66965064305244,0,51.5325951221046,8,1.62708590582022,1.61022570164488,1.1742097272119,1.89728998463364,35.32,1.97026693894557,2.09450943220532,2.04121878791598,0,24.0788196484535,95,1.5916413821084,1.93749835001216
40,200,"sregular","partial",1.69605015606436,1.70419002126192,1.6805939844661,1.70180202819851,97.13,2.10500123212922,2.26745210862177,1.94648555264881,77.82,100,2,1.47313318194159,1.49986066642916,1.42147805825804,1.44498958875643,99.27,2.13906389987421,2.38012912142994,1.59570539948588,0,62.5119163423154,2,1.481546882565,1.55793797833138,1.43057516749797,1.4784327711194,99.21,2.1375731287984,2.36597445449474,1.68143375437778,0,48.3568613641248,6,1.41265733269119,1.48852293167454,1.5228034936926,1.55711043083617,99.08,2.21993525096162,2.35973525174341,1.70349490458238,0,18.4504992802057,100,1.417291826138,2.16761311531307
40,200,"random","partial",1.76360441909007,1.74031661762912,1.87577223847737,1.94584320131507,89.44,2.24715091400462,2.30249027334303,2.20248595012233,67.5,100,3,1.47939918833241,1.42836365058474,1.58925745535701,1.62665476421903,96.54,2.25756903721818,2.33075284734745,1.84077186234393,0,56.5648233288231,2,1.44103968073063,1.42033290430651,1.57058744092713,1.59469976958887,97.09,2.28234538539356,2.34008981770537,2.10423993356998,0,37.6047324902008,4,1.39348945711872,1.4333398549484,1.59055203527826,1.61577790714439,97.23,2.34027831879637,2.27461002673908,2.09726317205731,0,20.0041239776844,201,1.42010391925828,2.14229001954668
40,200,"wclust","partial",1.78811986031334,1.75879144287448,1.80008320673452,2.12795146771753,91.3,2.30241710477906,2.39964249526402,2.4126957198378,77.91,100,3,1.69806607396868,1.55483857585419,1.31388329566692,1.64114198450082,81.44,2.28287223900126,2.54438941678755,1.67360572679855,0,47.4516174144765,2,1.87504608696147,1.70205976315567,1.28738547626181,1.57247923737219,77.9,2.24285148353295,2.39929032535963,1.83055119505043,0,24.7362368124512,4,1.74724450613415,1.53428030406213,1.28957979945232,1.62440201920141,77.84,2.22516065530845,2.2969041189339,2.0379824678788,0,16.1002593734294,148,1.5625449511737,2.08891127747605
40,200,"sclust","partial",1.87376286010451,1.72971305137607,1.25151891361841,1.7811355298707,72.49,2.54026202801532,2.65761801294764,1.83567114641511,52,100,2,1.8408981936442,1.64886051826843,1.11000689633586,1.64107026307691,33.25,2.6912955825539,2.8643943428001,1.56852244879007,0,53.7982309264936,2,1.93128176560583,1.74996387744683,1.12265647698807,1.58672766727809,25.44,2.64439552758443,2.81709870203615,1.49746134029833,0,22.8766043558453,2,1.79633698430407,1.64676203873383,1.10887472471022,1.41732942299954,24.02,2.44532659397132,2.59078765546273,1.60435639286922,0,12.4887850648443,145,1.87302106712715,2.49271896717487
40,200,"sregular","partial",1.6441786217046,1.51849664858784,1.59890729567452,1.66682481845277,97.47,1.99865161643933,2.13785745650305,1.83559193580546,79.94,100,3,1.51807228256645,1.35531265406657,1.50623088002894,1.56928572740876,99.51,2.08450755309741,2.26016900017109,1.88639251827542,0,70.8477467761035,3,1.50460292209077,1.38304477665449,1.51882476866292,1.5597202289217,99.34,2.41998002776152,2.63507137055396,2.04002090085771,0,39.2372975855891,2,1.4824116043772,1.28633694425683,1.54513453739906,1.56568835013574,99.62,2.25250141177242,2.47240935036781,2.0704001599037,0,14.8724180863822,51,1.52229138965453,2.1050610230826
40,200,"random","partial",1.63887438918518,1.54625713043358,1.69464838346645,1.6512312696668,98.74,1.85086902511469,1.91022145113138,1.72220046458359,87.79,100,2,1.53837026932913,1.43558567707741,1.5754816321355,1.54487500951276,98.92,2.11715272753881,2.2624582358941,1.79956805070043,0,66.7892010583686,2,1.5298319999249,1.43658209609315,1.57467489857446,1.54688889178783,99.2,1.98251077151765,2.1712931500257,1.85922801847525,0,51.4896938935766,6,1.50654008651786,1.35815241853141,1.52756673379837,1.56388835256303,99.08,2.1470386632862,2.36751923606581,1.92982688226277,0,22.8584278922953,151,1.40966630261574,1.86802281401936
