"range","nsample","dsample","scenario","baseline_surface_inter","baseline_test_inter","baseline_random_inter","baseline_spatial_inter","baseline_AOA_inter","baseline_surface_extra","baseline_test_extra","baseline_spatial_extra","baseline_AOA_extra","baseline_impfeat","baseline_mtry","coord_surface_inter","coord_test_inter","coord_random_inter","coord_spatial_inter","coord_AOA_inter","coord_surface_extra","coord_test_extra","coord_spatial_extra","coord_AOA_extra","coord_impfeat","coord_mtry","EDF_surface_inter","EDF_test_inter","EDF_random_inter","EDF_spatial_inter","EDF_AOA_inter","EDF_surface_extra","EDF_test_extra","EDF_spatial_extra","EDF_AOA_extra","EDF_impfeat","EDF_mtry","RFsp_surface_inter","RFsp_test_inter","RFsp_random_inter","RFsp_spatial_inter","RFsp_AOA_inter","RFsp_surface_extra","RFsp_test_extra","RFsp_spatial_extra","RFsp_AOA_extra","RFsp_impfeat","RFsp_mtry","RFGLS_surface_inter","RFGLS_surface_extra"
40,200,"sregular","proxyonly",1.95255458202068,NA,NA,NA,NA,2.11071846297595,NA,NA,NA,NA,NA,1.52533781940438,1.47850777740199,1.67473853352699,1.74613923821846,99.36,2.49161801403312,2.63782692625837,2.11838668542099,0,0,2,1.45758870163061,1.43042013899634,1.6889389933708,1.67769869731465,99.74,2.12219702874083,2.2937350557085,1.99289039040587,0,0,3,1.41354127026684,1.34915227899992,1.63268903056688,1.6252892401638,99.28,2.1098652796047,2.3080755526197,2.0603110776465,0,0,99,1.41067551303526,2.08659090668935
40,200,"random","proxyonly",1.96201442128171,NA,NA,NA,NA,2.16601647531059,NA,NA,NA,NA,NA,1.56955268556624,1.44596582379199,1.58237462910254,1.53588584306554,99.6,2.43227269487323,2.61985425213298,1.9030787127177,0,0,2,1.49168719055399,1.41415904144299,1.51800327592688,1.51876246936929,99.01,2.05808975400897,2.23983966347541,1.83226308316035,0,0,2,1.46878571437569,1.49612051529668,1.53248919727174,1.50401066062252,98.9,2.26951259211465,2.48024648332018,1.88034088206543,0,0,99,1.44937623285379,2.11352481953512
40,200,"wclust","proxyonly",1.95252253440416,NA,NA,NA,NA,2.11188672993163,NA,NA,NA,NA,NA,1.57365164325823,1.52143403325762,1.49440254916432,1.79636732350636,59.63,2.2656980227622,2.44196049794725,2.07183020629259,0,0,2,1.5545446181768,1.53951455681956,1.4839632387826,1.67609310224393,60.68,2.03426718631759,2.19754834234819,2.03213513619412,0,0,3,1.52759172816536,1.49511774089803,1.51129790849016,1.72435804620732,58.06,2.0585294257218,2.24032542943513,2.21630322878566,0,0,2,1.49458495861339,2.07821169096611
40,200,"sclust","proxyonly",1.96843229085055,NA,NA,NA,NA,2.18439873672218,NA,NA,NA,NA,NA,1.69986325784044,1.6305705622261,1.38269023033207,1.58979173583535,16.59,2.26767717963072,2.42916291102997,2.56834900400676,0,0,2,1.66031690985935,1.7884063435691,1.33486653710056,1.50910758867094,14.92,2.07118991615915,2.22572721662569,2.05903649498872,0,0,4,1.71057523388054,1.6837831448464,1.32497179901997,1.56589344423615,16.19,2.12095589108826,2.26439646742723,2.00017915593753,0,0,138,1.7424968856042,2.17263504624957
40,200,"sregular","proxyonly",2.17249321315089,NA,NA,NA,NA,2.39122015609879,NA,NA,NA,NA,NA,1.49130477234268,1.46386207621635,1.62635575315365,1.64530435547783,99.99,2.46998715117728,2.35578366123845,1.96009604923334,0,0,2,1.50662520005723,1.48304178997958,1.64425978557536,1.66594479197828,99.1,2.41222560538223,2.37792672808965,2.05397798833644,0,0,6,1.42942367446242,1.4435443600474,1.61316629008456,1.63690244715738,99.72,2.41331214803642,2.38092031323888,1.91449461001409,0,0,2,1.4005089685212,2.39216396163372
40,200,"random","proxyonly",2.1767943823225,NA,NA,NA,NA,2.39242347569405,NA,NA,NA,NA,NA,1.4669855163833,1.49182987778316,1.71893755573127,1.67488862692826,99.76,2.77952918186651,2.67667882170941,2.69932032699481,0,0,2,1.44508246195915,1.47232008364471,1.69394340513095,1.67688280191371,99.29,2.40966049848108,2.42180348259911,2.86844291971742,0,0,6,1.39605997551653,1.47622183210106,1.58636717637666,1.55773297875801,98.84,2.39489638059328,2.39652230521932,2.27776942814875,0,0,200,1.36842055358789,2.3915032723499
40,200,"wclust","proxyonly",2.17197534563063,NA,NA,NA,NA,2.40860422953591,NA,NA,NA,NA,NA,1.81539841845137,1.75419941827039,1.61156823940811,1.93100428391367,55.33,2.80338943842577,2.7515941516015,2.58956836438265,0,0,2,1.6801857004757,1.55468578267119,1.56301357555575,1.92129832191965,54.36,2.61588058506826,2.77234319365094,2.77171485603591,0,0,3,1.74020634670704,1.74617273030559,1.5175057463652,1.78951665219844,60.61,2.53394796975198,2.69400274144799,2.87070379670568,0,0,98,1.50341608114707,2.39120772114944
40,200,"sclust","proxyonly",2.22676307246623,NA,NA,NA,NA,2.47720176726295,NA,NA,NA,NA,NA,1.92434087344222,1.91055607153865,1.36834831520427,1.56828828976323,12.35,3.22555180214809,3.55611334456142,1.68084863980131,0,0,2,2.01900256613281,1.96955776660072,1.36337602650172,1.64685372122848,15.34,3.17237846984104,3.47492105362814,1.68731883201786,0,0,3,2.41983716099522,2.15910198015613,1.30171507195085,2.03370402157812,14.69,3.17137030674247,3.45799194064022,2.16965533079451,0,0,2,2.06871123247393,2.55187707848187
40,200,"sregular","proxyonly",2.24959256029884,NA,NA,NA,NA,2.33004309450309,NA,NA,NA,NA,NA,1.67199751204675,1.48193128971103,1.71737547485278,1.77912309605745,100,2.35663514736677,2.51619964996355,2.27150887025876,0,0,2,1.57851754071317,1.48951424171341,1.68389051099527,1.70787466061262,100,2.55694359221565,2.81291095688463,2.25472700182578,0,0,4,1.52549917070446,1.33368698403091,1.59222534146244,1.64723426551132,99.89,2.20317919950129,2.43054926321718,2.21293766633159,0,0,50,1.53237190641125,2.32227843414588
40,200,"random","proxyonly",2.25843674614665,NA,NA,NA,NA,2.48466913162613,NA,NA,NA,NA,NA,1.59670749350181,1.56953159342041,1.74996565077639,1.75514625452269,99.18,3.0825923009372,3.19943112551348,3.3913798923514,0,0,2,1.57352972124432,1.57775188322917,1.68311948666209,1.6873362506881,99.08,3.09694714291129,3.35145392335687,3.0656491618653,0,0,3,1.56240627252097,1.53738306669817,1.65258636914198,1.62483252957346,99.32,2.8320134868648,3.05950848028312,2.69949402887942,0,0,2,1.51920627696611,2.46793623774276
40,200,"wclust","proxyonly",2.26109492143685,NA,NA,NA,NA,2.49965783235237,NA,NA,NA,NA,NA,1.89365510615717,1.84313256864614,1.73842472371347,2.27451536970585,48.09,2.34058496520687,2.46190001023915,3.60570077646209,0,0,2,1.85762040405697,1.96437669176425,1.6542006996326,2.19156885765176,52.33,2.35430665714041,2.47762626350546,3.70176786019384,0,0,6,1.8303438220414,1.88515743470386,1.57487168567256,2.12803117041892,50.98,2.1509392057491,2.30489972784121,2.92807595268978,0,0,2,1.63247556209645,2.32454265438742
40,200,"sclust","proxyonly",2.30810995305334,NA,NA,NA,NA,2.15441351574646,NA,NA,NA,NA,NA,2.69392104216836,2.59407411955687,1.54340581824767,3.46530477751413,14.18,2.25401278193892,2.44733082165803,5.11785231383537,0,0,2,2.48141705952408,2.45328995073131,1.3782154631422,2.74061226411232,17.45,2.18407181720521,2.42320448112201,3.39370047602249,0,0,4,2.02945945410381,2.07235206963502,1.38438805723443,2.84457234725059,18.22,2.57754929878011,2.80788297730896,3.99615894920533,0,0,180,1.78388774072808,2.36760151807568
40,200,"sregular","proxyonly",2.02104525312903,NA,NA,NA,NA,2.22717810931151,NA,NA,NA,NA,NA,1.52450264601211,1.56833977433494,1.67307632142053,1.69309820929796,100,2.24273103099477,2.23785561940787,2.28836827717079,0,0,2,1.48194453049192,1.51313254805372,1.61095665398123,1.62414113861372,100,2.437573331369,2.41807732990149,2.00051892952542,0,0,4,1.44779228866104,1.46225309394175,1.56308512307918,1.56102472399249,99.95,2.48198977819686,2.45358564250383,1.92897783939251,0,0,54,1.44775148631783,2.24822963728983
40,200,"random","proxyonly",2.02540734479867,NA,NA,NA,NA,2.2188107496343,NA,NA,NA,NA,NA,1.62946630224949,1.55801633551986,1.70062916646578,1.5973180025807,98.85,2.99090287933494,2.97020422157819,2.01444303049414,0,0,2,1.5779560996379,1.52043046360085,1.70849322420015,1.59343656186006,97.25,2.7179214951241,2.63696925159262,2.05237668487001,0,0,6,1.51126487055046,1.59399639812647,1.48481970654187,1.48598250008082,99.28,2.20426433719735,2.12393865307395,2.05667835901023,0,0,199,1.45393900883046,2.21701490175859
40,200,"wclust","proxyonly",2.01937528320431,NA,NA,NA,NA,2.23278923378944,NA,NA,NA,NA,NA,1.8183160132063,1.6651289342689,1.37641633425049,1.533123889094,63.9,4.79417197012267,4.88351581058831,2.22376399071056,0,0,2,1.77719610103924,1.62782381962945,1.34936796998767,1.50039469666494,65.91,3.36681942289814,3.36744158834186,2.0780492841889,0,0,4,1.80196272033919,1.6423767022839,1.33564284190965,1.42037778899435,64.38,2.33099128223736,2.2871077363707,1.98258500638651,0,0,2,1.65974598898891,2.28613255137357
40,200,"sclust","proxyonly",2.0242282612042,NA,NA,NA,NA,2.28368117122807,NA,NA,NA,NA,NA,2.25529940474984,2.02399284718464,1.41724370326773,2.51270717637525,14.92,3.65994132148491,3.33043026185359,3.01594215645171,0,0,2,2.24576291973821,1.89613547492001,1.50010763290064,2.37321148807763,13.85,3.34972228948383,3.16388982189163,2.6739149813147,0,0,3,1.89507073176761,1.55864556760278,1.44678159157513,2.27995223987116,14.6,2.21281817048185,2.14504498711122,2.52352526132097,0,0,136,1.86837739251276,2.22089355403482
40,200,"sregular","proxyonly",1.96571391512024,NA,NA,NA,NA,2.32428968854718,NA,NA,NA,NA,NA,1.54635405405715,1.65748012747315,1.72899114399115,1.68370518185479,100,2.86142057449921,2.97664891457869,2.15706751309543,0,0,2,1.52222166771661,1.63741755612414,1.65944622458605,1.67074860229959,99.76,2.19026196101045,2.44499786938216,2.02386813545481,0,0,3,1.43770306120102,1.56763544499308,1.60664546325878,1.56542811222446,99.93,2.1465806053476,2.39256242876016,1.98955466046511,0,0,50,1.40013136279808,2.29866597776229
40,200,"random","proxyonly",1.95761552459735,NA,NA,NA,NA,2.24885558509062,NA,NA,NA,NA,NA,1.58170440851966,1.6537583571033,1.91792649775902,1.85079862411352,97.27,2.90994313982658,3.19137992725444,2.72670088511662,0,0,2,1.66170155939472,1.76096899626813,1.72050480019159,1.73939201603772,97.88,2.19645774766311,2.45011981092286,2.48017397920095,0,0,6,1.50635181037416,1.619697781355,1.60255984015638,1.69480212501374,98.47,2.13351709138001,2.38079121792302,2.82617970234157,0,0,150,1.39840918838489,2.23008176963351
40,200,"wclust","proxyonly",1.96397442374492,NA,NA,NA,NA,2.18394969272341,NA,NA,NA,NA,NA,1.73780074392171,1.62638473992733,1.525748557409,2.00370335432526,57.87,2.5546123259284,2.70870025265103,2.12078177588456,0,0,2,1.60098593732309,1.57973999378445,1.52843186404773,1.85601800900414,59.02,2.20817073187235,2.4064236675697,2.26429667734523,0,0,2,1.71064060135771,1.83550491223994,1.52506406284122,1.80983975836931,59.39,2.49329904629439,2.68467375351314,2.16107068592275,0,0,195,1.59988060943159,2.10624099684224
40,200,"sclust","proxyonly",1.99057491474846,NA,NA,NA,NA,2.41651764625481,NA,NA,NA,NA,NA,1.97208744854507,2.23667644509523,1.33556272249475,2.97146340084807,14.42,2.67350579367644,2.76903130667722,4.05604908010263,0,0,2,1.85741511305128,2.03797345812115,1.35602845882226,2.26378165884387,16.4,2.25557200448667,2.46938004541193,3.17712182233622,0,0,2,1.93322049710572,2.07729047235203,1.34014489945922,2.66729290199085,17.3,2.05031919330127,2.30051981898939,4.18511558712127,0,0,96,1.83149421099572,2.38373740179824
40,200,"sregular","proxyonly",1.96713284040173,NA,NA,NA,NA,2.66032975753421,NA,NA,NA,NA,NA,1.47636602613806,1.61557027250712,1.73055486726801,1.66339101087035,100,2.61405499797526,2.51854426015541,2.17896765198102,0,0,2,1.48115576276268,1.63318623645433,1.61823750830857,1.59889923954379,99.99,2.53095720213329,2.46866985250967,2.15954550625155,0,0,4,1.44910901296204,1.64008988952015,1.58466974504448,1.59560423715227,99.93,2.51480435692094,2.43902545137077,1.88063428457739,0,0,2,1.44378381061325,2.62328916043552
40,200,"random","proxyonly",1.9710526540687,NA,NA,NA,NA,2.55019712486329,NA,NA,NA,NA,NA,1.7020035234063,1.87139210610401,1.6813040369468,1.5773935339025,99.65,2.98328295509252,2.88406848088126,2.41397887360801,0,0,2,1.62992885180238,1.83284613812532,1.71444584157989,1.61130314276177,99.43,2.76754689631361,2.6918641294879,2.47225992990397,0,0,3,1.53328576053406,1.71484733985682,1.74065973289592,1.66162759761952,99,2.88792004480137,2.7918363927433,2.04541862470431,0,0,2,1.4791837473974,2.50574023892048
